Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Carbon Sequestration|CCS|FossilLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,26.6737759,48.2308547,115.6776069,219.9747189,268.3309669,280.6070249,273.156126,260.2191602,,243.4730058,,275.4435758,,280.9668801,,266.3703097
Carbon Sequestration|CCS|FossilNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,31.6663112,76.4324473,165.0785123,258.7165986,321.9000745,381.7593908,435.8993514,495.6089125,,712.1616269,,899.3814263,,1004.47318,,854.951058
Carbon Sequestration|CCS|FossilNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,29.0755635,76.2833057,246.6967838,437.8156508,541.667782,579.7570293,626.8040134,610.2123845,,608.0617903,,626.7398938,,595.0163849,,487.7041097
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,11.4419592,32.0333849,72.8055108,168.2460404,330.1127169,487.3573447,655.1874506,843.1279409,,868.8539069,,851.6814792,,788.5294855,,678.2494081
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,14.1162893,10.1940395,3.0969315,0.5734201,0,0,0,0,,0,,0,,0,,0
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,14.1162893,10.1940395,6.5847955,96.2971206,255.8902054,435.7468981,593.3981802,694.0202368,,637.6131206,,562.824689,,444.4254264,,265.7078925
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,14.1162893,10.1940395,4.1375815,23.858876,70.4035582,138.2559601,223.9946087,329.5055399,,394.7477064,,383.3728658,,367.6701533,,316.1737689
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,18.5207481,40.1847625,105.7122774,209.4528014,258.2842552,271.5497484,265.7113044,255.1401911,,242.4775346,,275.3195302,,280.9574074,,266.3637472
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,20.3549948,64.1122272,150.8035691,243.7863121,307.4937461,368.4174714,424.8527705,487.6989029,,710.1319744,,898.8559486,,1004.293754,,854.9081242
Carbon Sequestration|CCS|Fossil|Energy|Demand|IndustryNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,21.4005381,71.3261777,239.3738161,430.1090232,534.6755477,573.7647478,622.1698339,607.4760054,,608.0454133,,626.7290521,,595.0072348,,487.6979757
Carbon Sequestration|CCS|Fossil|Energy|SupplyBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,10.9310847,13.916442,19.5359345,23.9982318,26.2042613,25.9808867,23.6375977,19.5788057,,10.0524543,,3.0810283,,0.1903846,,0.0041005
Carbon Sequestration|CCS|Fossil|Energy|SupplyCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,15.4313586,18.328839,20.1847925,21.1875324,20.8385253,19.5569038,17.3365753,13.1454809,,2.8179276,,0.0016857,,0.0005247,,0.0002987
Carbon Sequestration|CCS|Fossil|Energy|SupplyDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,15.4313586,18.328839,18.7843145,20.1619784,19.6679786,17.922583,15.2850692,10.5258696,,2.3078415,,0.2561667,,0.0048684,,0.0023921
Carbon Sequestration|CCS|Fossil|Energy|SupplyFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,15.4313586,18.328839,20.3444171,21.731316,21.8195329,21.0552735,18.5813615,14.3454977,,4.4240671,,0.9370666,,0.2143346,,0.0021985
Carbon Sequestration|CCS|Fossil|Energy|SupplyLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,8.1530278,8.0460922,9.9653295,10.5219175,10.0467117,9.0572765,7.4448216,5.0789691,,0.9954712,,0.1240456,,0.0094727,,0.0065625
Carbon Sequestration|CCS|Fossil|Energy|SupplyNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,11.3113164,12.3202201,14.2749432,14.9302865,14.4063284,13.3419194,11.0465809,7.9100096,,2.0296525,,0.5254777,,0.1794261,,0.0429338
Carbon Sequestration|CCS|Fossil|Energy|SupplyNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,7.6750254,4.957128,7.3229677,7.7066276,6.9922343,5.9922815,4.6341795,2.7363791,,0.016377,,0.0108417,,0.0091501,,0.006134
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,1.2344286,1.0254721,1.2054157,1.2105357,1.1621916,1.0738171,0.9205682,0.6383172,,0.0723098,,0.0040028,,0.0029921,,0.00201
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,3.288264,3.2848426,3.3168669,3.3119397,3.1780903,3.0029685,2.7484294,2.2499432,,0.5950338,,0.0005361,,0.0001555,,0.0000968
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,3.288264,3.2848426,3.2302441,3.2330884,3.1384104,2.9388563,2.5742179,1.8185307,,0.4714783,,0.0025403,,0.0016931,,0.0009986
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,3.288264,3.2848426,3.3186171,3.3214866,3.2267397,3.0336473,2.7121902,2.2085088,,0.6025993,,0.0020474,,0.001293,,0.0008126
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0.7639251,0.5016125,0.7773589,0.8046135,0.7661674,0.6974553,0.5844963,0.4213483,,0.0066392,,0.0045498,,0.0037448,,0.0028537
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,1.7974701,1.5651554,1.7267286,1.7595808,1.6925845,1.5794516,1.0482359,0.5879474,,0.2122728,,0.0041296,,0.0030875,,0.0019517
Carbon Sequestration|CCS|Fossil|Energy|Supply|ElectricityNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0.7121804,0.3257932,0.6784936,0.7970512,0.745551,0.6476357,0.5269653,0.3698982,,0.006278,,0.0042291,,0.0034659,,0.0025583
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,9.6957453,12.8879758,18.3252444,22.7824055,25.0362681,24.9010837,22.7111785,18.9344275,,9.9752104,,3.0739946,,0.1853629,,0.0011664
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,12.0385149,14.9382001,16.7103942,17.7197132,17.5101038,16.4148139,14.4647506,10.7962181,,2.2067149,,0.000581,,0.0002042,,0.0001142
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,12.0385149,14.9382001,15.4467177,16.8222751,16.4269082,14.8890537,12.6301484,8.6559383,,1.8320837,,0.2510864,,0.0014238,,0.0007666
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,12.0385149,14.9382001,16.9187258,18.2529782,18.4396183,17.8794435,15.7435936,12.0395765,,3.8021426,,0.9327173,,0.2116245,,0.0005417
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,7.3886618,7.5417388,9.1827217,9.7120154,9.2753199,8.3547336,6.855394,4.6528846,,0.9842039,,0.1164099,,0.0031358,,0.0021035
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,9.4606743,10.7008418,12.4923426,13.1156255,12.610332,11.6117213,9.8602252,7.2026617,,1.7315602,,0.4672871,,0.1683535,,0.0400626
Carbon Sequestration|CCS|Fossil|Energy|Supply|HydrogenNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,6.962845,4.628979,6.6394547,6.9043287,6.2415502,5.3397758,4.102595,2.3620952,,0.0057242,,0.0038038,,0.0033121,,0.0021318
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.0009108,0.0029941,0.0052744,0.0052906,0.0058016,0.0059859,0.005851,0.0060609,,0.0049342,,0.0030309,,0.0020297,,0.0009242
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.1045796,0.1057962,0.1575314,0.1558796,0.1503311,0.1391214,0.1233953,0.0993195,,0.0161789,,0.0005685,,0.0001649,,0.0000877
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.1045796,0.1057962,0.1073528,0.1066149,0.1026599,0.094673,0.080703,0.0514006,,0.0042795,,0.00254,,0.0017515,,0.000627
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.1045796,0.1057962,0.1070742,0.1568512,0.1531749,0.1421828,0.1255777,0.0974124,,0.0193252,,0.002302,,0.0014171,,0.0008442
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.0004409,0.0027408,0.0052489,0.0052886,0.0052244,0.0050876,0.0049314,0.0047361,,0.0046281,,0.0030859,,0.0025922,,0.0016054
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0.0531721,0.0542229,0.055872,0.0550802,0.1034119,0.1507464,0.1381198,0.1194004,,0.0858194,,0.0540609,,0.0079851,,0.0009196
Carbon Sequestration|CCS|Fossil|Energy|Supply|LiquidsNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr,0,0.0023558,0.0050195,0.0052478,0.0051331,0.00487,0.0046191,0.0043857,,0.0043747,,0.0028087,,0.0023721,,0.001444
Carbon Sequestration|CCS|Industrial ProcessesBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,0,2.0892306,16.2728312,77.5683357,200.9780324,374.7969388,634.4846627,,808.503203,,774.3677838,,716.2270121,,626.0662928
Carbon Sequestration|CCS|Industrial ProcessesCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Carbon Sequestration|CCS|Industrial ProcessesDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,0,0,33.7583421,118.6169967,254.7156688,405.7479307,563.8467552,,564.6587155,,472.5367814,,349.6760459,,201.2643451
Carbon Sequestration|CCS|Industrial ProcessesFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,0,0,0.5984634,8.7861628,35.0140669,78.9993632,160.6493156,,239.683748,,241.7835786,,226.155325,,204.0578266
Carbon Sequestration|CCS|Industrial ProcessesLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,0,37.7433665,114.0016793,224.745556,327.8373321,423.7744698,502.2049039,,606.6618296,,698.168715,,790.4275848,,848.9700275
Carbon Sequestration|CCS|Industrial ProcessesNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,6.3005153,23.1657601,52.0073599,93.1826448,153.2022538,226.9783657,343.8149769,,656.1436809,,930.2310618,,892.8427756,,786.336798
Carbon Sequestration|CCS|Industrial ProcessesNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,7.5710935,70.7067517,179.1341179,307.8510619,408.1378026,490.4282141,532.4476184,,573.6351161,,589.8765223,,564.9743861,,494.3453606
Carbon Sequestration|Land UseBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|Land Use,Mt CO2/yr,387.2398,538.924,601.7739,661.99,706.0582,734.3464,761.74,808.4094,,887.8171,,995.1529,,1099.721,,1160.1841
Carbon Sequestration|Land UseCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|Land Use,Mt CO2/yr,338.7115,346.4638,338.5984,329.7805,324.3121,324.1123,326.3708,326.1995,,319.8475,,305.5293,,283.0898,,252.3453
Carbon Sequestration|Land UseDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|Land Use,Mt CO2/yr,338.7115,346.4638,649.7654,736.8109,795.0714,817.5254,816.6513,820.8013,,860.4964,,945.8764,,1056.6491,,1151.0578
Carbon Sequestration|Land UseFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|Land Use,Mt CO2/yr,338.7115,346.4638,556.0825,566.9396,547.4673,511.8924,488.0894,490.1918,,505.9521,,514.9321,,505.586,,474.3264
Carbon Sequestration|Land UseLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|Land Use,Mt CO2/yr,387.2398,523.6236,557.4376,570.8136,560.9758,546.0357,549.6001,575.2797,,605.6509,,627.2786,,638.6835,,636.7252
Carbon Sequestration|Land UseNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|Land Use,Mt CO2/yr,387.2398,523.6331,557.214,568.1708,548.764,513.2014,489.3746,491.5423,,507.4974,,516.6956,,507.4762,,476.211
Carbon Sequestration|Land UseNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|Land Use,Mt CO2/yr,387.2398,568.8785,680.0057,800.3782,893.2038,947.1078,977.3257,1013.7617,,1079.6747,,1162.1683,,1220.6956,,1224.5989
Carbon Sequestration|Land Use|AfforestationBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,387.2398,538.924,601.7739,661.99,706.0582,734.3464,761.74,808.4094,,887.8171,,995.1529,,1099.721,,1160.1841
Carbon Sequestration|Land Use|AfforestationCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,338.7115,346.4638,338.5984,329.7805,324.3121,324.1123,326.3708,326.1995,,319.8475,,305.5293,,283.0898,,252.3453
Carbon Sequestration|Land Use|AfforestationDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,338.7115,346.4638,649.7654,736.8109,795.0714,817.5254,816.6513,820.8013,,860.4964,,945.8764,,1056.6491,,1151.0578
Carbon Sequestration|Land Use|AfforestationFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,338.7115,346.4638,556.0825,566.9396,547.4673,511.8924,488.0894,490.1918,,505.9521,,514.9321,,505.586,,474.3264
Carbon Sequestration|Land Use|AfforestationLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,387.2398,523.6236,557.4376,570.8136,560.9758,546.0357,549.6001,575.2797,,605.6509,,627.2786,,638.6835,,636.7252
Carbon Sequestration|Land Use|AfforestationNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,387.2398,523.6331,557.214,568.1708,548.764,513.2014,489.3746,491.5423,,507.4974,,516.6956,,507.4762,,476.211
Carbon Sequestration|Land Use|AfforestationNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr,387.2398,568.8785,680.0057,800.3782,893.2038,947.1078,977.3257,1013.7617,,1079.6747,,1162.1683,,1220.6956,,1224.5989
ConsumptionBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Consumption,billion US$2010/yr,48543.17596,54786.36044,62337.65563,70706.69768,79264.75084,88269.22153,97707.08607,111277.038,,129333.0767,,158216.3307,,184196.9004,,206692.3981
ConsumptionCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Consumption,billion US$2010/yr,48911.40381,55295.77289,63097.79326,71591.0404,80238.97127,89174.32503,98650.23247,112096.4882,,130239.994,,159007.75,,184591.3361,,206643.5831
ConsumptionDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Consumption,billion US$2010/yr,48911.40381,55295.77289,62049.39706,70080.68757,77887.60106,86484.64138,95693.52764,109072.6771,,126952.7035,,156107.7455,,182257.401,,204348.0879
ConsumptionFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Consumption,billion US$2010/yr,48911.40381,55295.77289,62422.79238,71089.75187,79464.57048,88370.9688,97829.6093,111452.575,,129547.0601,,158697.1108,,184824.1147,,207256.4337
ConsumptionLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Consumption,billion US$2010/yr,50067.73488,57791.36876,66207.35766,75629.33259,85524.50636,95735.44565,106137.7585,120659.4252,,139647.2116,,169317.5237,,195955.0323,,218204.7783
ConsumptionNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Consumption,billion US$2010/yr,48404.86489,54450.90319,61918.96385,70386.08659,79063.43022,88053.11907,97518.60636,111032.8578,,129131.0888,,158260.6438,,184111.0475,,206266.5717
ConsumptionNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Consumption,billion US$2010/yr,48188.02195,53766.80979,60317.90048,68088.18982,76371.43421,85170.76022,94674.97981,108268.7017,,126358.4181,,155551.8024,,181616.4254,,203702.3591
Effective Radiative Forcing|Aerosols|50.0th PercentileBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.903805155,-0.795851482,-0.642860947,-0.535037031,-0.466329858,-0.409355579,-0.403098455,-0.403131816,-0.397874973,-0.392530184,-0.384081472,-0.374591008,-0.360911854,-0.347737394,-0.333579565,-0.323540304
Effective Radiative Forcing|Aerosols|50.0th PercentileCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.910255766,-0.848694455,-0.740485454,-0.633008553,-0.54393677,-0.461598937,-0.439122018,-0.416588812,-0.395011117,-0.374084587,-0.354938674,-0.334254445,-0.32130596,-0.309130528,-0.302614896,-0.294011714
Effective Radiative Forcing|Aerosols|50.0th PercentileDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.910255766,-0.84697925,-0.703738981,-0.543896213,-0.45117329,-0.399337249,-0.394174008,-0.394100861,-0.389762048,-0.385755868,-0.376986435,-0.367241114,-0.354755405,-0.341517664,-0.328859771,-0.319601402
Effective Radiative Forcing|Aerosols|50.0th PercentileFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.910255766,-0.847682612,-0.721259567,-0.60789962,-0.521449947,-0.450429502,-0.441488449,-0.437127564,-0.432152082,-0.426186421,-0.41788631,-0.409227187,-0.395980927,-0.383235167,-0.369065952,-0.356380417
Effective Radiative Forcing|Aerosols|50.0th PercentileLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.880639009,-0.681500241,-0.518916071,-0.441930741,-0.390774625,-0.349570806,-0.348435072,-0.349677512,-0.345956032,-0.343026232,-0.337786624,-0.330987097,-0.320806374,-0.310296,-0.299702707,-0.289022583
Effective Radiative Forcing|Aerosols|50.0th PercentileNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.904423265,-0.794172467,-0.657894564,-0.560496094,-0.49051143,-0.424850447,-0.400493918,-0.380099998,-0.36038335,-0.341003783,-0.321079576,-0.301876768,-0.291026571,-0.280909289,-0.27491009,-0.269643596
Effective Radiative Forcing|Aerosols|50.0th PercentileNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Effective Radiative Forcing|Aerosols|50.0th Percentile,W/m^2,-0.895663207,-0.727742096,-0.559492938,-0.474865038,-0.423424807,-0.378006534,-0.379160435,-0.382638554,-0.378827582,-0.374213975,-0.366119239,-0.35778222,-0.345457647,-0.332990686,-0.322125677,-0.311395037
